DATE	['SNWD', 'TMAX', 'TMIN', 'SNOW', 'AWND', 'WDF2', 'WDF5', 'WSF2', 'WSF5', 'WT01']
20150504	['0.0', '85', '57', '0.0', '5.37', '230', '210', '15.0', '23.0', '-9999']
20150505	['0.0', '85', '66', '0.0', '4.03', '250', '250', '13.0', '21.0', '-9999']
20150506	['0.0', '73', '59', '0.0', '4.92', '60', '50', '14.1', '23.0', '-9999']
20150507	['0.0', '80', '56', '0.0', '2.24', '180', '170', '10.1', '17.0', '-9999']
20150508	['0.0', '82', '56', '0.0', '2.91', '160', '170', '13.0', '21.0', '1']
20150509	['0.0', '70', '57', '0.0', '4.25', '60', '170', '8.9', '13.0', '1']
20150510	['0.0', '83', '61', '0.0', '3.58', '230', '240', '13.0', '23.0', '1']
20150511	['0.0', '84', '70', '0.0', '3.80', '250', '240', '13.0', '25.1', '-9999']
20150512	['0.0', '86', '64', '0.0', '5.37', '240', '270', '15.0', '28.0', '1']
20150513	['0.0', '70', '53', '0.0', '7.38', '300', '300', '15.0', '25.9', '-9999']
20150514	['0.0', '73', '50', '0.0', '3.80', '250', '240', '13.0', '19.9', '-9999']
20150515	['0.0', '75', '55', '0.0', '3.36', '160', '180', '13.0', '21.9', '-9999']
20150516	['0.0', '75', '57', '0.0', '2.01', '260', '260', '10.1', '16.1', '1']
20150517	['0.0', '83', '64', '0.0', '2.01', '10', '20', '6.9', '11.0', '1']
20150518	['0.0', '75', '60', '0.0', '4.70', '70', '70', '14.1', '18.1', '1']
20150519	['0.0', '80', '59', '0.0', '2.46', '350', '300', '14.1', '25.9', '1']
20150520	['0.0', '67', '54', '0.0', '6.93', '300', '320', '14.1', '27.1', '-9999']
20150521	['0.0', '62', '52', '0.0', '2.68', '270', '250', '12.1', '16.1', '-9999']
20150522	['0.0', '74', '55', '0.0', '6.04', '290', '280', '18.1', '29.1', '-9999']
20150523	['0.0', '70', '49', '0.0', '4.47', '300', '300', '15.0', '25.1', '-9999']
20150524	['0.0', '81', '56', '0.0', '3.80', '240', '250', '10.1', '18.1', '-9999']
20150525	['0.0', '85', '64', '0.0', '4.92', '240', '200', '13.0', '21.0', '-9999']
20150526	['0.0', '88', '67', '0.0', '5.14', '230', '250', '12.1', '19.9', '-9999']
20150527	['0.0', '85', '70', '0.0', '5.14', '170', '160', '15.0', '23.0', '1']
20150528	['0.0', '85', '70', '0.0', '4.03', '30', '310', '12.1', '19.9', '-9999']
20150529	['0.0', '85', '65', '0.0', '4.03', '50', '160', '12.1', '17.0', '-9999']
20150530	['0.0', '85', '67', '0.0', '5.59', '180', '180', '14.1', '25.1', '-9999']
20150531	['0.0', '87', '57', '0.0', '5.59', '80', '60', '19.9', '28.0', '1']
20150601	['0.0', '58', '51', '0.0', '10.29', '70', '70', '16.1', '29.1', '1']
20150602	['0.0', '55', '50', '0.0', '6.26', '60', '50', '14.1', '19.0', '1']
20150603	['0.0', '70', '52', '0.0', '4.70', '150', '180', '10.1', '16.1', '1']
20150604	['0.0', '65', '54', '0.0', '5.14', '60', '80', '12.1', '16.1', '-9999']
20150605	['0.0', '70', '55', '0.0', '2.91', '80', '50', '8.9', '14.1', '1']
20150606	['0.0', '76', '60', '0.0', '4.70', '330', '50', '8.9', '21.9', '1']
20150607	['0.0', '74', '55', '0.0', '3.80', '190', '180', '12.1', '23.0', '-9999']
20150608	['0.0', '79', '63', '0.0', '6.04', '250', '240', '15.0', '27.1', '1']
20150609	['0.0', '83', '68', '0.0', '4.92', '290', '280', '15.0', '25.1', '1']
20150610	['0.0', '82', '65', '0.0', '3.13', '230', '250', '13.0', '19.9', '-9999']
20150611	['0.0', '89', '72', '0.0', '4.47', '250', '250', '14.1', '19.0', '-9999']
20150612	['0.0', '88', '73', '0.0', '4.47', '170', '240', '13.0', '23.0', '-9999']
20150613	['0.0', '86', '72', '0.0', '5.37', '360', '320', '14.1', '21.9', '-9999']
20150614	['0.0', '88', '66', '0.0', '2.68', '230', '210', '10.1', '18.1', '1']
20150615	['0.0', '83', '64', '0.0', '4.70', '70', '60', '17.0', '25.1', '1']
20150616	['0.0', '79', '65', '0.0', '2.24', '290', '310', '8.1', '13.0', '1']
20150617	['0.0', '82', '66', '0.0', '3.80', '160', '50', '12.1', '17.0', '-9999']
20150618	['0.0', '71', '64', '0.0', '3.58', '200', '170', '8.1', '15.0', '-9999']
20150619	['0.0', '87', '68', '0.0', '3.80', '60', '30', '10.1', '16.1', '-9999']
20150620	['0.0', '75', '64', '0.0', '5.37', '80', '60', '15.0', '21.9', '1']
20150621	['0.0', '88', '71', '0.0', '4.47', '300', '310', '16.1', '29.1', '1']
20150622	['0.0', '87', '70', '0.0', '4.92', '260', '260', '13.0', '19.0', '-9999']
20150623	['0.0', '90', '75', '0.0', '5.82', '250', '250', '16.1', '27.1', '-9999']
20150624	['0.0', '84', '68', '0.0', '4.70', '340', '360', '13.0', '19.0', '-9999']
20150625	['0.0', '83', '65', '0.0', '3.13', '240', '250', '13.0', '21.9', '-9999']
20150626	['0.0', '81', '69', '0.0', '4.47', '60', '80', '16.1', '21.0', '-9999']
20150627	['0.0', '71', '58', '0.0', '7.38', '60', '80', '16.1', '23.9', '1']
20150628	['0.0', '73', '62', '0.0', '5.37', '60', '90', '18.1', '25.1', '1']
20150629	['0.0', '76', '63', '0.0', '4.92', '250', '250', '12.1', '19.9', '-9999']
20150630	['0.0', '82', '68', '0.0', '4.92', '170', '170', '14.1', '25.1', '1']
20150701	['0.0', '82', '69', '0.0', '4.25', '260', '270', '14.1', '31.1', '1']
20150702	['0.0', '80', '69', '0.0', '1.12', '40', '50', '8.1', '12.1', '-9999']
20150703	['0.0', '82', '66', '0.0', '2.91', '60', '20', '8.9', '13.0', '-9999']
20150704	['0.0', '75', '69', '0.0', '3.36', '100', '50', '8.9', '14.1', '-9999']
20150705	['0.0', '83', '68', '0.0', '1.57', '180', '170', '6.9', '12.1', '-9999']
20150706	['0.0', '83', '72', '0.0', '2.91', '160', '160', '12.1', '18.1', '-9999']
20150707	['0.0', '88', '75', '0.0', '4.92', '240', '250', '13.0', '23.0', '1']
20150708	['0.0', '88', '77', '0.0', '3.13', '280', '270', '13.0', '21.9', '-9999']
20150709	['0.0', '79', '68', '0.0', '4.70', '70', '170', '12.1', '18.1', '1']
20150710	['0.0', '84', '72', '0.0', '4.70', '20', '300', '12.1', '21.0', '1']
